Gate_ID,Material,Location,Height (ft),Width (ft),Opening_Mechanism,Security_Features,Use_Case,Budget,Climate_Suitability,Parking_Space,Cable_Layout,Storage_Space
2059,Wood,Outdoor,5.6,10.3,Swinging,Advanced Lock,Industrial,Low,Humid,Yes,Underground,Large
2060,Glass,Outdoor,7.8,13.0,Sliding,Standard Lock,Residential,High,Hot,No,Overhead,None
2061,Metal,Indoor,9.8,10.8,Automatic,Simple Latch,Commercial,High,Cold,Yes,Overhead,Medium
2062,Wood,Outdoor,9.0,9.4,Sliding,Reinforced,Industrial,High,Hot,No,Underground,Small
2063,Glass,Indoor,7.9,6.8,Swinging,Advanced Lock,Residential,Medium,Cold,Yes,Overhead,Medium
2064,Composite,Outdoor,8.2,14.7,Folding,Simple Latch,Industrial,Medium,Hot,Yes,Underground,Small
2065,Glass,Outdoor,9.7,15.2,Folding,Standard Lock,Commercial,Medium,All,Yes,None,None
2066,Composite,Indoor,7.1,7.7,Automatic,Simple Latch,Residential,Low,All,Yes,Underground,Small
2067,Composite,Outdoor,6.7,16.4,Swinging,Reinforced,Industrial,Low,Cold,Yes,Overhead,Large
2068,Metal,Indoor,9.9,17.5,Folding,Reinforced,Commercial,High,Cold,No,Underground,None
2069,Wood,Indoor,9.3,18.7,Automatic,Simple Latch,Industrial,Low,Humid,No,Underground,Small
2070,Glass,Indoor,6.6,5.7,Swinging,Simple Latch,Industrial,Low,Cold,Yes,Underground,Small
2071,Metal,Outdoor,7.3,8.2,Swinging,Simple Latch,Residential,Medium,Cold,No,Underground,Medium
2072,Glass,Outdoor,7.1,17.6,Sliding,Simple Latch,Residential,Medium,Humid,Yes,Overhead,None
2073,Composite,Indoor,5.7,6.4,Folding,Standard Lock,Industrial,High,Cold,No,None,Small
2074,Wood,Outdoor,9.8,3.1,Swinging,Simple Latch,Commercial,Medium,Hot,Yes,None,Small
2075,Glass,Outdoor,7.0,17.8,Folding,Standard Lock,Residential,Medium,All,Yes,Underground,None
2076,Glass,Outdoor,9.4,8.5,Folding,Simple Latch,Industrial,Low,Humid,Yes,None,Small
2077,Composite,Indoor,5.9,10.0,Swinging,Standard Lock,Industrial,High,Humid,Yes,Overhead,Small
2078,Glass,Outdoor,7.7,10.6,Folding,Reinforced,Residential,Low,Cold,No,Overhead,Large
2079,Glass,Indoor,5.1,17.4,Sliding,Advanced Lock,Residential,High,All,No,None,Small
2080,Composite,Outdoor,8.8,8.7,Automatic,Simple Latch,Industrial,High,Humid,No,None,Small
2081,Metal,Outdoor,7.9,18.2,Automatic,Simple Latch,Residential,Medium,Hot,No,Overhead,Large
2082,Composite,Indoor,8.1,13.5,Swinging,Reinforced,Industrial,Low,Cold,Yes,Underground,None
2083,Metal,Outdoor,5.3,12.0,Sliding,Advanced Lock,Commercial,Low,All,No,Underground,Small
2084,Wood,Indoor,6.1,8.5,Automatic,Reinforced,Residential,Medium,Cold,No,Overhead,Large
2085,Metal,Outdoor,5.4,7.1,Sliding,Reinforced,Residential,High,Cold,Yes,None,Medium
2086,Metal,Indoor,6.4,13.6,Swinging,Simple Latch,Industrial,High,Hot,No,None,None
2087,Wood,Outdoor,8.1,10.6,Sliding,Simple Latch,Residential,High,Hot,Yes,None,Small
2088,Metal,Outdoor,7.8,18.5,Swinging,Reinforced,Commercial,High,Hot,No,None,Large
2089,Composite,Outdoor,8.1,11.4,Automatic,Simple Latch,Industrial,Medium,Humid,No,None,Medium
2090,Metal,Indoor,7.7,11.7,Automatic,Simple Latch,Commercial,High,All,Yes,None,None
2091,Wood,Indoor,6.4,10.1,Automatic,Simple Latch,Commercial,Low,Humid,Yes,None,Small
2092,Composite,Indoor,6.2,16.4,Automatic,Advanced Lock,Commercial,High,Cold,No,None,None
2093,Wood,Outdoor,5.7,10.2,Folding,Advanced Lock,Commercial,High,All,Yes,Underground,Medium
2094,Wood,Indoor,9.2,7.6,Sliding,Simple Latch,Industrial,High,All,Yes,Underground,Small
2095,Glass,Indoor,8.1,17.7,Sliding,Reinforced,Residential,Medium,Cold,No,None,None
2096,Glass,Indoor,5.9,13.1,Sliding,Advanced Lock,Commercial,High,Cold,No,None,Large
2097,Wood,Indoor,5.9,13.1,Swinging,Reinforced,Commercial,Medium,Humid,No,Underground,None
2098,Wood,Indoor,9.4,13.4,Automatic,Standard Lock,Industrial,Low,Hot,No,Overhead,Large
2099,Wood,Indoor,8.7,15.2,Automatic,Standard Lock,Commercial,High,Hot,No,Underground,Large
2100,Glass,Indoor,8.3,8.3,Folding,Simple Latch,Commercial,High,Cold,No,None,Large
2101,Glass,Indoor,7.0,3.6,Folding,Reinforced,Commercial,Low,Hot,No,Underground,None
2102,Metal,Indoor,6.3,16.8,Automatic,Reinforced,Commercial,High,All,Yes,None,Large
2103,Metal,Indoor,9.9,5.2,Sliding,Standard Lock,Residential,High,Humid,No,Underground,Small
2104,Wood,Outdoor,9.0,15.3,Sliding,Advanced Lock,Commercial,Medium,Hot,No,Underground,Large
2105,Composite,Outdoor,6.5,4.4,Automatic,Reinforced,Industrial,Medium,Cold,No,Underground,Small
2106,Composite,Indoor,9.2,9.4,Swinging,Reinforced,Residential,Low,Cold,No,None,Small
2107,Glass,Outdoor,8.8,4.1,Sliding,Advanced Lock,Industrial,Medium,Hot,Yes,Overhead,Small
2108,Glass,Outdoor,6.5,11.9,Automatic,Simple Latch,Residential,Medium,Cold,No,None,Small
2109,Glass,Indoor,7.1,14.1,Automatic,Standard Lock,Residential,Low,Cold,Yes,Overhead,None
2110,Wood,Indoor,5.9,5.9,Folding,Reinforced,Commercial,Low,All,No,Overhead,Small
2111,Composite,Indoor,5.6,9.3,Folding,Simple Latch,Commercial,High,Humid,No,Overhead,Small
2112,Metal,Outdoor,8.6,18.8,Automatic,Simple Latch,Industrial,High,Humid,Yes,Overhead,Large
2113,Wood,Indoor,6.3,10.5,Swinging,Simple Latch,Residential,High,Hot,Yes,Overhead,Large
2114,Metal,Outdoor,9.1,16.6,Automatic,Advanced Lock,Residential,High,All,Yes,Overhead,Large
2115,Metal,Indoor,10.0,18.8,Sliding,Simple Latch,Commercial,Medium,All,Yes,None,Small
2116,Wood,Outdoor,5.4,19.6,Swinging,Reinforced,Residential,Medium,All,No,None,Small
2117,Metal,Outdoor,7.4,18.3,Swinging,Simple Latch,Commercial,Low,All,No,Underground,Small
2118,Composite,Indoor,9.0,8.4,Folding,Simple Latch,Commercial,Low,Cold,Yes,Overhead,Small
2119,Metal,Indoor,8.9,19.4,Automatic,Simple Latch,Industrial,Medium,Hot,No,None,Medium
2120,Composite,Outdoor,8.8,16.8,Folding,Standard Lock,Commercial,High,Humid,No,None,Medium
2121,Composite,Outdoor,6.7,17.2,Sliding,Reinforced,Commercial,High,Humid,No,None,Large
2122,Composite,Indoor,7.3,3.3,Folding,Standard Lock,Residential,High,All,Yes,None,None
2123,Glass,Indoor,8.0,19.2,Sliding,Standard Lock,Industrial,High,Humid,No,Underground,Large
2124,Metal,Outdoor,9.9,16.2,Automatic,Simple Latch,Industrial,Low,Hot,No,None,Small
2125,Wood,Indoor,6.6,16.1,Automatic,Simple Latch,Industrial,Medium,Humid,No,Underground,Small
2126,Wood,Outdoor,9.6,4.4,Folding,Simple Latch,Commercial,Low,Cold,No,Overhead,Large
2127,Metal,Indoor,6.3,7.0,Folding,Advanced Lock,Industrial,Medium,All,Yes,Underground,Large
2128,Glass,Indoor,9.9,19.4,Folding,Reinforced,Commercial,High,Humid,No,None,None
2129,Glass,Indoor,8.4,11.5,Sliding,Advanced Lock,Commercial,Low,Hot,Yes,Overhead,Large
2130,Composite,Outdoor,7.3,9.8,Swinging,Reinforced,Commercial,Medium,Humid,No,Underground,None
2131,Metal,Indoor,8.1,17.3,Swinging,Simple Latch,Commercial,Medium,Hot,Yes,Underground,Small
2132,Metal,Outdoor,6.4,4.5,Folding,Reinforced,Industrial,Medium,Cold,Yes,Underground,None
2133,Wood,Indoor,6.4,10.1,Folding,Reinforced,Industrial,Medium,Humid,No,None,Large
2134,Metal,Outdoor,5.6,9.4,Automatic,Standard Lock,Residential,High,All,No,Overhead,Small
2135,Glass,Outdoor,5.6,8.9,Folding,Reinforced,Industrial,High,Hot,Yes,Underground,None
2136,Metal,Indoor,6.7,8.2,Automatic,Reinforced,Residential,Medium,Cold,No,None,Medium
2137,Wood,Outdoor,8.8,6.6,Sliding,Standard Lock,Industrial,Medium,All,No,Overhead,Small
2138,Composite,Outdoor,8.0,5.9,Sliding,Advanced Lock,Industrial,Medium,Cold,No,Underground,Large
2139,Wood,Outdoor,5.5,13.9,Sliding,Reinforced,Industrial,High,Humid,Yes,Overhead,None
2140,Wood,Outdoor,9.3,18.6,Sliding,Advanced Lock,Commercial,Low,Cold,No,None,Medium
2141,Composite,Indoor,8.0,11.7,Folding,Advanced Lock,Industrial,Medium,Cold,Yes,Overhead,Large
2142,Wood,Indoor,9.8,8.1,Folding,Simple Latch,Industrial,Low,Hot,No,Overhead,Medium
2143,Wood,Indoor,8.4,5.7,Automatic,Reinforced,Residential,High,Hot,No,Overhead,Small
2144,Metal,Outdoor,5.9,17.1,Folding,Standard Lock,Industrial,High,All,Yes,Underground,None
2145,Metal,Outdoor,7.4,19.5,Automatic,Standard Lock,Commercial,High,All,No,Underground,Large
2146,Composite,Indoor,8.2,8.9,Sliding,Simple Latch,Industrial,High,Hot,Yes,Underground,Large
2147,Metal,Indoor,5.1,7.9,Automatic,Standard Lock,Residential,High,Humid,Yes,Underground,Large
2148,Metal,Outdoor,5.1,13.2,Automatic,Reinforced,Industrial,Low,Cold,No,Underground,Medium
2149,Wood,Indoor,5.6,16.2,Folding,Advanced Lock,Industrial,Low,Humid,Yes,Underground,None
2150,Glass,Indoor,6.3,10.7,Sliding,Advanced Lock,Residential,Low,Humid,No,Underground,None
2151,Metal,Outdoor,7.1,13.7,Swinging,Standard Lock,Industrial,Low,All,No,None,Small
2152,Glass,Indoor,7.4,15.2,Folding,Standard Lock,Residential,Medium,Hot,No,None,None
2153,Metal,Outdoor,5.7,19.3,Folding,Standard Lock,Residential,High,Cold,No,Overhead,Large
2154,Metal,Indoor,8.4,5.8,Swinging,Advanced Lock,Commercial,Low,Humid,Yes,Overhead,Medium
2155,Composite,Outdoor,8.0,20.0,Sliding,Reinforced,Commercial,Low,Humid,Yes,None,Medium
2156,Composite,Outdoor,6.5,9.7,Swinging,Reinforced,Residential,Medium,Humid,No,None,None
2157,Composite,Outdoor,5.1,15.3,Automatic,Reinforced,Commercial,Medium,Humid,Yes,Overhead,Large
2158,Glass,Outdoor,5.4,12.7,Swinging,Reinforced,Commercial,High,Hot,Yes,None,Small
2159,Wood,Outdoor,7.0,11.3,Sliding,Reinforced,Residential,High,Humid,Yes,None,None
2160,Metal,Indoor,5.8,14.9,Sliding,Simple Latch,Industrial,Medium,All,No,None,Medium
2161,Metal,Indoor,6.9,9.7,Swinging,Standard Lock,Industrial,Medium,Hot,Yes,Overhead,Medium
2162,Metal,Indoor,8.1,5.1,Folding,Reinforced,Industrial,Medium,Cold,No,Overhead,Large
2163,Glass,Outdoor,7.7,11.3,Swinging,Simple Latch,Commercial,High,Humid,No,Underground,None
2164,Composite,Indoor,6.2,11.9,Automatic,Reinforced,Commercial,Medium,Hot,Yes,Overhead,Large
2165,Wood,Outdoor,6.7,6.4,Swinging,Standard Lock,Industrial,Low,Hot,No,Underground,Large
2166,Glass,Outdoor,8.1,18.9,Swinging,Reinforced,Residential,High,Humid,Yes,None,None
2167,Composite,Indoor,9.3,6.9,Swinging,Reinforced,Residential,High,Hot,No,Underground,Large
2168,Glass,Outdoor,8.8,10.0,Automatic,Reinforced,Residential,Low,Humid,No,None,Medium
2169,Wood,Indoor,7.8,5.6,Swinging,Standard Lock,Commercial,Low,All,Yes,Underground,Medium
2170,Composite,Outdoor,6.8,12.1,Folding,Advanced Lock,Industrial,High,All,Yes,None,None
2171,Glass,Outdoor,6.8,8.2,Automatic,Standard Lock,Residential,High,Hot,Yes,Overhead,Medium
2172,Wood,Indoor,9.4,11.3,Folding,Advanced Lock,Industrial,Medium,All,No,Underground,None
2173,Metal,Outdoor,5.2,6.8,Automatic,Simple Latch,Industrial,Medium,Hot,No,Underground,None
2174,Wood,Indoor,9.9,3.9,Sliding,Simple Latch,Commercial,Low,All,Yes,None,Medium
2175,Metal,Outdoor,8.3,16.2,Sliding,Reinforced,Residential,Low,Cold,Yes,None,Medium
2176,Glass,Indoor,8.4,13.9,Automatic,Reinforced,Commercial,Low,Humid,No,Overhead,Large
2177,Composite,Outdoor,5.2,8.8,Automatic,Reinforced,Industrial,Low,Cold,No,Underground,Medium
2178,Composite,Indoor,8.0,3.8,Automatic,Standard Lock,Industrial,Medium,Hot,Yes,Overhead,Small
2179,Glass,Indoor,7.4,17.7,Sliding,Reinforced,Industrial,High,Humid,No,Overhead,None
2180,Composite,Outdoor,5.5,5.9,Automatic,Advanced Lock,Residential,Medium,Cold,Yes,Overhead,None
2181,Composite,Indoor,6.4,18.8,Sliding,Simple Latch,Residential,Low,Humid,Yes,None,None
2182,Metal,Outdoor,9.5,11.1,Sliding,Simple Latch,Residential,Medium,All,Yes,Overhead,None
2183,Glass,Outdoor,7.7,8.8,Automatic,Simple Latch,Industrial,Low,Humid,Yes,Overhead,Large
2184,Wood,Indoor,7.1,15.6,Automatic,Advanced Lock,Industrial,Medium,Cold,Yes,None,None
2185,Metal,Indoor,5.4,17.9,Automatic,Reinforced,Residential,High,Cold,No,None,Large
2186,Glass,Indoor,8.6,9.3,Sliding,Advanced Lock,Industrial,Low,Cold,No,Overhead,Large
2187,Metal,Indoor,8.5,9.9,Swinging,Advanced Lock,Industrial,Medium,Hot,No,Underground,Small
2188,Wood,Indoor,8.1,10.4,Automatic,Standard Lock,Industrial,Low,Cold,No,Underground,Medium
2189,Wood,Outdoor,7.6,18.7,Swinging,Standard Lock,Residential,High,Cold,Yes,None,Medium
2190,Glass,Indoor,7.2,14.8,Swinging,Simple Latch,Commercial,Low,Hot,Yes,Overhead,Large
2191,Wood,Outdoor,8.0,7.2,Swinging,Advanced Lock,Commercial,High,All,No,Underground,Small
2192,Metal,Indoor,6.2,6.1,Folding,Simple Latch,Commercial,Medium,Cold,No,Underground,None
2193,Wood,Indoor,9.7,6.9,Swinging,Advanced Lock,Residential,High,Humid,Yes,Overhead,None
2194,Metal,Indoor,7.9,7.5,Swinging,Simple Latch,Industrial,Low,All,No,Underground,Large
2195,Metal,Outdoor,6.6,6.9,Sliding,Simple Latch,Commercial,Medium,All,Yes,Underground,Medium
2196,Wood,Indoor,7.2,14.2,Folding,Reinforced,Commercial,Low,Humid,No,None,Large
2197,Glass,Outdoor,9.0,5.0,Sliding,Simple Latch,Residential,Low,Humid,No,Underground,Small
2198,Composite,Outdoor,5.8,9.6,Sliding,Standard Lock,Industrial,Medium,Hot,Yes,Underground,Medium
2199,Wood,Outdoor,6.5,13.6,Swinging,Advanced Lock,Industrial,High,Cold,No,None,None
2200,Metal,Indoor,8.4,7.9,Sliding,Simple Latch,Residential,High,Humid,No,Underground,None
2201,Metal,Outdoor,6.6,4.1,Automatic,Advanced Lock,Commercial,Medium,Hot,Yes,None,Large
2202,Wood,Indoor,9.0,4.4,Swinging,Simple Latch,Industrial,Medium,Hot,Yes,Overhead,Small
2203,Glass,Outdoor,5.7,5.1,Automatic,Standard Lock,Industrial,Low,All,No,Underground,Small
2204,Glass,Indoor,8.8,17.2,Swinging,Reinforced,Commercial,Low,Hot,Yes,Underground,Small
2205,Metal,Outdoor,5.3,14.2,Swinging,Reinforced,Residential,Medium,Hot,Yes,None,Small
2206,Metal,Indoor,5.1,4.1,Swinging,Advanced Lock,Commercial,Medium,Hot,No,Underground,Medium
2207,Glass,Indoor,9.5,9.6,Folding,Simple Latch,Industrial,Low,All,Yes,Underground,Small
2208,Composite,Indoor,7.9,7.7,Swinging,Standard Lock,Residential,Low,Humid,Yes,None,Large
2209,Wood,Outdoor,6.8,12.8,Automatic,Advanced Lock,Commercial,High,Hot,Yes,Underground,Small
2210,Metal,Outdoor,6.2,11.9,Swinging,Reinforced,Commercial,Medium,Cold,No,None,None
2211,Metal,Indoor,8.1,11.2,Swinging,Advanced Lock,Residential,Low,All,No,Underground,Medium
2212,Glass,Outdoor,7.5,8.3,Sliding,Advanced Lock,Industrial,High,Humid,Yes,Overhead,Medium
2213,Wood,Outdoor,10.0,5.3,Swinging,Simple Latch,Residential,Low,Hot,No,None,Large
2214,Glass,Outdoor,9.9,15.6,Swinging,Standard Lock,Residential,Medium,All,No,Overhead,None
2215,Wood,Outdoor,8.2,18.0,Swinging,Reinforced,Industrial,High,Humid,Yes,Overhead,Large
2216,Wood,Outdoor,7.2,19.1,Swinging,Reinforced,Commercial,Low,Humid,No,None,Large
2217,Wood,Outdoor,7.5,4.0,Swinging,Standard Lock,Residential,Medium,Cold,No,Overhead,Large
2218,Metal,Outdoor,8.4,15.6,Swinging,Simple Latch,Residential,Medium,Hot,Yes,Underground,Small
2219,Composite,Indoor,5.5,15.4,Folding,Standard Lock,Commercial,Medium,Cold,Yes,None,Small
2220,Glass,Indoor,6.6,19.1,Automatic,Standard Lock,Industrial,Medium,All,No,Underground,Small
2221,Composite,Outdoor,5.4,7.3,Folding,Simple Latch,Commercial,High,Hot,Yes,Overhead,Large
2222,Glass,Indoor,5.4,15.6,Automatic,Simple Latch,Commercial,Low,All,No,None,Large
2223,Wood,Indoor,6.0,3.9,Folding,Reinforced,Residential,Low,All,Yes,Overhead,Large
2224,Metal,Indoor,7.4,13.7,Swinging,Reinforced,Residential,Medium,Hot,No,Underground,Small
2225,Composite,Outdoor,8.9,9.0,Folding,Simple Latch,Industrial,Low,Humid,Yes,None,Small
2226,Metal,Outdoor,7.4,16.1,Automatic,Advanced Lock,Residential,Medium,All,Yes,Overhead,Large
2227,Glass,Outdoor,6.7,17.7,Sliding,Reinforced,Commercial,Low,All,Yes,None,Large
2228,Metal,Outdoor,5.4,9.2,Sliding,Simple Latch,Commercial,Low,Hot,No,Overhead,Small
2229,Metal,Outdoor,7.8,11.9,Swinging,Simple Latch,Industrial,Low,Humid,No,Underground,Large
2230,Composite,Indoor,6.4,5.0,Swinging,Advanced Lock,Residential,High,Cold,No,None,Small
2231,Wood,Outdoor,8.1,10.1,Automatic,Standard Lock,Residential,Medium,Hot,Yes,Overhead,Small
2232,Metal,Indoor,9.9,9.1,Sliding,Simple Latch,Industrial,High,All,No,Overhead,Large
2233,Wood,Outdoor,5.6,6.1,Swinging,Advanced Lock,Industrial,Low,Hot,Yes,Underground,Large
2234,Glass,Indoor,6.1,18.2,Folding,Advanced Lock,Residential,High,Cold,Yes,None,Large
2235,Metal,Outdoor,7.4,5.5,Folding,Reinforced,Industrial,High,Cold,Yes,Overhead,None
2236,Composite,Outdoor,9.8,13.8,Sliding,Simple Latch,Commercial,High,All,Yes,Underground,None
2237,Glass,Outdoor,8.9,18.1,Automatic,Reinforced,Industrial,Low,Humid,No,None,None
2238,Glass,Outdoor,9.5,18.5,Swinging,Standard Lock,Commercial,High,Cold,No,Overhead,Medium
2239,Composite,Outdoor,6.7,16.5,Swinging,Standard Lock,Commercial,Low,Hot,No,Overhead,Medium
2240,Metal,Outdoor,10.0,6.0,Swinging,Reinforced,Commercial,Medium,Humid,Yes,None,None
2241,Metal,Indoor,5.5,16.9,Sliding,Reinforced,Residential,Low,Cold,No,None,Large
2242,Glass,Outdoor,5.3,7.7,Folding,Simple Latch,Commercial,Low,Hot,No,Overhead,None
2243,Metal,Indoor,9.3,18.7,Automatic,Simple Latch,Industrial,Low,Hot,No,Underground,Medium
2244,Wood,Outdoor,9.6,15.1,Sliding,Simple Latch,Commercial,Medium,All,Yes,Underground,Small
2245,Composite,Indoor,5.5,16.3,Sliding,Standard Lock,Residential,Medium,All,No,Underground,None
2246,Wood,Indoor,5.6,4.4,Swinging,Reinforced,Residential,Low,Hot,Yes,None,Small
2247,Metal,Indoor,5.2,12.9,Folding,Advanced Lock,Residential,Low,All,Yes,Overhead,Small
2248,Glass,Indoor,5.5,17.0,Automatic,Reinforced,Residential,Medium,All,No,Underground,None
2249,Composite,Indoor,6.0,17.6,Automatic,Advanced Lock,Industrial,Medium,Cold,Yes,None,Small
2250,Metal,Indoor,9.9,3.5,Swinging,Simple Latch,Residential,Low,Humid,Yes,Overhead,Small
2251,Metal,Outdoor,8.3,19.0,Automatic,Simple Latch,Industrial,Medium,Cold,Yes,Overhead,None
2252,Glass,Indoor,8.9,3.7,Folding,Reinforced,Residential,Low,Humid,Yes,None,None
2253,Glass,Outdoor,8.9,13.4,Swinging,Advanced Lock,Residential,Low,Cold,No,None,Small
2254,Wood,Outdoor,7.7,14.8,Swinging,Standard Lock,Industrial,Low,Hot,No,Underground,Small
2255,Composite,Indoor,9.0,4.8,Folding,Simple Latch,Commercial,Medium,All,Yes,Overhead,Small
2256,Composite,Indoor,8.0,3.8,Automatic,Simple Latch,Industrial,Medium,Cold,No,Overhead,Medium
2257,Glass,Outdoor,6.6,16.3,Folding,Reinforced,Commercial,Medium,Humid,Yes,Overhead,Medium
2258,Wood,Indoor,7.8,9.5,Automatic,Reinforced,Industrial,Low,All,Yes,Overhead,Large
2259,Composite,Indoor,7.7,4.8,Automatic,Standard Lock,Commercial,Low,All,Yes,Underground,None
2260,Glass,Indoor,9.1,16.0,Automatic,Reinforced,Residential,High,Cold,No,Overhead,Small
2261,Metal,Indoor,9.9,17.4,Folding,Standard Lock,Commercial,Low,All,Yes,None,Small
2262,Composite,Indoor,7.1,13.0,Folding,Advanced Lock,Commercial,Low,Humid,Yes,Underground,Small
2263,Wood,Indoor,8.8,5.7,Sliding,Standard Lock,Residential,High,Cold,No,Overhead,Medium
2264,Wood,Indoor,5.5,3.3,Folding,Advanced Lock,Residential,Low,Humid,No,Underground,None
2265,Wood,Outdoor,8.9,14.9,Swinging,Simple Latch,Commercial,Low,Hot,Yes,Underground,Large
2266,Metal,Indoor,6.9,12.4,Swinging,Reinforced,Commercial,Medium,Hot,No,Underground,Medium
2267,Composite,Outdoor,5.2,14.1,Swinging,Simple Latch,Industrial,High,All,Yes,None,None
2268,Composite,Outdoor,6.8,16.8,Swinging,Standard Lock,Residential,Medium,All,Yes,Underground,Small
2269,Metal,Outdoor,8.1,10.4,Sliding,Standard Lock,Residential,High,Humid,Yes,Overhead,None
2270,Composite,Outdoor,5.6,5.1,Folding,Standard Lock,Residential,Low,Hot,Yes,Overhead,Medium
2271,Metal,Indoor,9.6,19.0,Folding,Advanced Lock,Industrial,High,Humid,Yes,Overhead,Medium
2272,Metal,Outdoor,5.4,12.3,Automatic,Simple Latch,Industrial,Medium,All,No,Underground,Medium
2273,Metal,Outdoor,9.7,13.5,Folding,Simple Latch,Commercial,Low,Humid,No,Overhead,Medium
2274,Wood,Outdoor,8.5,18.9,Automatic,Standard Lock,Industrial,Medium,All,Yes,Underground,Small
2275,Composite,Outdoor,6.6,18.8,Automatic,Reinforced,Industrial,High,Hot,Yes,Underground,Small
2276,Metal,Outdoor,7.0,12.7,Swinging,Simple Latch,Industrial,High,Cold,No,Underground,Medium
2277,Composite,Indoor,8.7,8.1,Sliding,Reinforced,Residential,High,Humid,Yes,Overhead,Small
2278,Wood,Indoor,8.0,20.0,Sliding,Simple Latch,Commercial,Medium,All,Yes,Underground,Medium
2279,Metal,Outdoor,8.4,14.6,Folding,Standard Lock,Industrial,Low,Cold,Yes,None,Large
2280,Glass,Indoor,6.9,9.9,Automatic,Standard Lock,Industrial,Low,Cold,No,None,None
2281,Wood,Indoor,7.4,12.5,Swinging,Simple Latch,Industrial,Medium,Hot,Yes,Underground,Large
2282,Glass,Outdoor,9.9,10.1,Automatic,Advanced Lock,Residential,Medium,All,Yes,Overhead,Small
2283,Composite,Outdoor,6.1,18.1,Swinging,Advanced Lock,Commercial,Medium,Humid,Yes,Underground,Small
2284,Composite,Outdoor,7.1,11.2,Automatic,Simple Latch,Commercial,Low,Cold,Yes,Underground,None
2285,Wood,Indoor,6.5,17.0,Folding,Standard Lock,Industrial,High,All,Yes,None,Small
2286,Composite,Outdoor,8.8,17.3,Folding,Simple Latch,Commercial,Medium,All,No,Overhead,Medium
2287,Glass,Indoor,8.8,17.0,Automatic,Reinforced,Residential,Medium,Cold,No,Overhead,None
2288,Metal,Indoor,6.5,15.3,Sliding,Standard Lock,Industrial,High,Hot,No,Underground,Large
2289,Metal,Indoor,5.4,17.5,Swinging,Advanced Lock,Commercial,Low,All,No,Overhead,Large
2290,Metal,Outdoor,5.1,9.6,Sliding,Advanced Lock,Industrial,Medium,Hot,No,Underground,Small
2291,Wood,Indoor,7.1,4.9,Sliding,Simple Latch,Residential,Medium,Cold,Yes,Underground,Large
2292,Composite,Outdoor,7.1,17.3,Automatic,Reinforced,Industrial,Medium,Cold,No,None,Small
2293,Glass,Outdoor,9.9,11.5,Swinging,Standard Lock,Residential,High,Hot,Yes,Overhead,Small
2294,Composite,Outdoor,7.3,5.2,Swinging,Advanced Lock,Industrial,High,Hot,No,Overhead,Large
2295,Composite,Outdoor,6.3,5.0,Folding,Simple Latch,Industrial,High,Hot,No,None,Large
2296,Composite,Outdoor,9.5,5.7,Automatic,Simple Latch,Commercial,High,Humid,Yes,Overhead,Medium
2297,Metal,Indoor,7.5,15.8,Automatic,Standard Lock,Commercial,Low,Hot,Yes,Underground,Small
2298,Glass,Indoor,8.0,15.1,Automatic,Simple Latch,Residential,High,Hot,Yes,Overhead,Medium
2299,Glass,Indoor,5.5,6.5,Folding,Simple Latch,Residential,Medium,Hot,No,Overhead,Medium
2300,Composite,Indoor,6.9,17.4,Folding,Simple Latch,Residential,Medium,Humid,Yes,Overhead,None
2301,Metal,Indoor,9.7,7.8,Swinging,Advanced Lock,Commercial,Medium,All,No,Underground,Large
2302,Metal,Outdoor,7.9,16.5,Folding,Advanced Lock,Industrial,Medium,Humid,No,Overhead,Large
2303,Glass,Outdoor,6.7,11.3,Automatic,Reinforced,Residential,Low,All,Yes,Underground,Large
2304,Metal,Indoor,8.1,15.4,Automatic,Standard Lock,Industrial,Low,Hot,Yes,None,Medium
2305,Metal,Indoor,9.6,9.5,Sliding,Standard Lock,Industrial,Low,Hot,No,Underground,None
2306,Metal,Indoor,6.4,8.9,Folding,Standard Lock,Commercial,Low,Humid,No,None,Large
2307,Wood,Outdoor,7.5,17.3,Automatic,Standard Lock,Commercial,Low,Humid,Yes,None,Large
2308,Composite,Outdoor,9.8,3.6,Automatic,Simple Latch,Industrial,Low,Cold,Yes,Underground,None
2309,Glass,Outdoor,5.9,19.6,Swinging,Standard Lock,Residential,High,Humid,Yes,Underground,Small
2310,Glass,Indoor,8.6,14.0,Folding,Reinforced,Commercial,Low,Humid,No,None,None
2311,Wood,Indoor,8.1,10.4,Automatic,Standard Lock,Industrial,Low,Hot,Yes,None,None
2312,Composite,Indoor,8.4,13.7,Swinging,Standard Lock,Commercial,Medium,Hot,No,Overhead,Large
2313,Glass,Indoor,6.8,5.1,Sliding,Simple Latch,Industrial,Medium,Hot,No,Underground,Small
2314,Metal,Outdoor,6.6,11.7,Sliding,Simple Latch,Commercial,Low,Humid,Yes,None,Medium
2315,Glass,Indoor,8.4,19.7,Swinging,Simple Latch,Residential,High,Cold,Yes,Underground,Small
2316,Metal,Indoor,6.1,7.0,Folding,Reinforced,Residential,High,Hot,Yes,Underground,Large
2317,Wood,Indoor,7.1,15.3,Automatic,Simple Latch,Commercial,High,Cold,No,None,Small
2318,Metal,Outdoor,5.9,10.4,Folding,Standard Lock,Commercial,High,Cold,No,None,Large
2319,Glass,Outdoor,5.0,14.1,Swinging,Reinforced,Commercial,Low,Humid,No,Underground,None
2320,Glass,Indoor,9.9,6.5,Automatic,Advanced Lock,Residential,High,Humid,No,Overhead,None
